strategy_id,strategy,source_proof_id,source_lean_name,source_strategy_number,source_file,formal_statement,comment
11,"Upgrade \(c\in[a,b]\) to \(c\in(a,b)\) by ruling out \(c=a\) and \(c=b\), since either endpoint equality together with \(f(c)=y\) would contradict the strict inequalities on \(y\).",atlas.real_analysis.0981157bc4ef,intermediate_value_theorem,4,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem intermediate_value_theorem (f : ℝ → ℝ) (a b : ℝ) (hab : a < b)
    (hf : ContinuousOn f (Set.Icc a b)) :
    (∀ y, f a < y → y < f b → ∃ c ∈ Set.Ioo a b, f c = y) ∧
    (∀ y, f b < y → y < f a → ∃ c ∈ Set.Ioo a b, f c = y)","Bolzano's Intermediate Value Theorem.

Let `f : ℝ → ℝ` be continuous on `[a, b]` with `a < b`. Then:
if `f a < y < f b`, there exists `c ∈ (a, b)` with `f c = y`;
if `f b < y < f a`, there exists `c ∈ (a, b)` with `f c = y`.

In either case, `f` attains every value strictly between `f a` and `f b` at some
interior point of the interval."
12,Define the polynomial as a continuous real-valued function \(f(x)=x^{2021}+x^{2020}+9.03x+1\).,atlas.real_analysis.84d958addbb6,polynomial_has_real_root,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem polynomial_has_real_root : ∃ x : ℝ, x^2021 + x^2020 + 9.03*x + 1 = 0","The polynomial `f(x) = x^2021 + x^2020 + 9.03 x + 1` has at least one real
root.

Proved via the Intermediate Value Theorem: `f(-1) < 0` and `f(0) > 0`, so by
continuity there exists `c ∈ [-1, 0]` with `f(c) = 0`."
13,Evaluate the endpoints \(-1\) and \(0\) to obtain the crucial sign change \(f(-1)=-8.03<0<f(0)=1\).,atlas.real_analysis.84d958addbb6,polynomial_has_real_root,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem polynomial_has_real_root : ∃ x : ℝ, x^2021 + x^2020 + 9.03*x + 1 = 0","The polynomial `f(x) = x^2021 + x^2020 + 9.03 x + 1` has at least one real
root.

Proved via the Intermediate Value Theorem: `f(-1) < 0` and `f(0) > 0`, so by
continuity there exists `c ∈ [-1, 0]` with `f(c) = 0`."
14,"Apply the Intermediate Value Theorem on \([-1,0]\) to conclude that some \(c\in[-1,0]\) satisfies \(f(c)=0\).",atlas.real_analysis.84d958addbb6,polynomial_has_real_root,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/IVT.lean,"theorem polynomial_has_real_root : ∃ x : ℝ, x^2021 + x^2020 + 9.03*x + 1 = 0","The polynomial `f(x) = x^2021 + x^2020 + 9.03 x + 1` has at least one real
root.

Proved via the Intermediate Value Theorem: `f(-1) < 0` and `f(0) > 0`, so by
continuity there exists `c ∈ [-1, 0]` with `f(c) = 0`."
15,"Rewrite `AccPt x (𝓟 S)` using `accPt_iff_nhds`, turning the topological claim into the statement that every neighborhood of \(x\) contains a point of \(S\) distinct from \(x\).",atlas.real_analysis.67ce5a8edceb,cluster_point_iff_acc_point,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem cluster_point_iff_acc_point (S : Set ℝ) (x : ℝ) :
    IsClusterPoint S x ↔ AccPt x (𝓟 S)","The elementary `ε`-`δ` notion `IsClusterPoint S x` agrees with Mathlib's
topological accumulation point `AccPt x (𝓟 S)`."
16,"In the forward direction, use the metric neighborhood basis to find an open ball around \(x\) contained in an arbitrary neighborhood, then apply the elementary cluster-point hypothesis inside that ball.",atlas.real_analysis.67ce5a8edceb,cluster_point_iff_acc_point,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem cluster_point_iff_acc_point (S : Set ℝ) (x : ℝ) :
    IsClusterPoint S x ↔ AccPt x (𝓟 S)","The elementary `ε`-`δ` notion `IsClusterPoint S x` agrees with Mathlib's
topological accumulation point `AccPt x (𝓟 S)`."
17,"In the reverse direction, test the accumulation-point hypothesis on the open ball \(B(x,\delta)\), which is a neighborhood whenever \(\delta>0\).",atlas.real_analysis.67ce5a8edceb,cluster_point_iff_acc_point,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem cluster_point_iff_acc_point (S : Set ℝ) (x : ℝ) :
    IsClusterPoint S x ↔ AccPt x (𝓟 S)","The elementary `ε`-`δ` notion `IsClusterPoint S x` agrees with Mathlib's
topological accumulation point `AccPt x (𝓟 S)`."
18,"Translate ball membership into the required absolute-value inequality using \(\operatorname{dist}(x,y)=|x-y|\) on \(\mathbb R\) and the symmetry of absolute differences.",atlas.real_analysis.67ce5a8edceb,cluster_point_iff_acc_point,4,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem cluster_point_iff_acc_point (S : Set ℝ) (x : ℝ) :
    IsClusterPoint S x ↔ AccPt x (𝓟 S)","The elementary `ε`-`δ` notion `IsClusterPoint S x` agrees with Mathlib's
topological accumulation point `AccPt x (𝓟 S)`."
19,"Rewrite the filter statement using `Metric.tendsto_nhdsWithin_nhds`, turning `Tendsto` into the same ε–δ form as the elementary definition.",atlas.real_analysis.bb1610265d4d,function_limit_iff_tendsto,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_iff_tendsto (f : ℝ → ℝ) (S : Set ℝ) (c L : ℝ) :
    FunctionConvergesAt f S c L ↔
    Filter.Tendsto f (nhdsWithin c (S \ {c})) (nhds L)","The elementary `ε`-`δ` definition `FunctionConvergesAt f S c L` is equivalent
to the Mathlib filter statement that `f` tends to `L` along the neighborhood
filter of `c` restricted to `S \ {c}`."
20,"Recognize that membership in \(S \setminus \{c\}\) is exactly the conjunction \(x \in S\) and \(x \ne c\), so the restricted filter encodes the punctured-domain condition.",atlas.real_analysis.bb1610265d4d,function_limit_iff_tendsto,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_iff_tendsto (f : ℝ → ℝ) (S : Set ℝ) (c L : ℝ) :
    FunctionConvergesAt f S c L ↔
    Filter.Tendsto f (nhdsWithin c (S \ {c})) (nhds L)","The elementary `ε`-`δ` definition `FunctionConvergesAt f S c L` is equivalent
to the Mathlib filter statement that `f` tends to `L` along the neighborhood
filter of `c` restricted to `S \ {c}`."
21,Use \(x \ne c \iff 0<|x-c|\) to translate between exclusion of the point \(c\) and the elementary definition’s strict positivity hypothesis.,atlas.real_analysis.bb1610265d4d,function_limit_iff_tendsto,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_iff_tendsto (f : ℝ → ℝ) (S : Set ℝ) (c L : ℝ) :
    FunctionConvergesAt f S c L ↔
    Filter.Tendsto f (nhdsWithin c (S \ {c})) (nhds L)","The elementary `ε`-`δ` definition `FunctionConvergesAt f S c L` is equivalent
to the Mathlib filter statement that `f` tends to `L` along the neighborhood
filter of `c` restricted to `S \ {c}`."
22,"Rewrite real distances via `Real.dist_eq`, identifying \(d(x,c)\) and \(d(f(x),L)\) with the corresponding absolute differences.",atlas.real_analysis.bb1610265d4d,function_limit_iff_tendsto,4,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_iff_tendsto (f : ℝ → ℝ) (S : Set ℝ) (c L : ℝ) :
    FunctionConvergesAt f S c L ↔
    Filter.Tendsto f (nhdsWithin c (S \ {c})) (nhds L)","The elementary `ε`-`δ` definition `FunctionConvergesAt f S c L` is equivalent
to the Mathlib filter statement that `f` tends to `L` along the neighborhood
filter of `c` restricted to `S \ {c}`."
23,"Reinterpret the cluster-point hypothesis as saying that the punctured neighborhood filter \(\operatorname{nhdsWithin}(c, S \setminus \{c\})\) is nontrivial (`NeBot`).",atlas.real_analysis.6587f64283a7,function_limit_unique,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_unique (f : ℝ → ℝ) (S : Set ℝ) (c L₁ L₂ : ℝ)
    (hc : IsClusterPoint S c)
    (hL₁ : FunctionConvergesAt f S c L₁)
    (hL₂ : FunctionConvergesAt f S c L₂) : L₁ = L₂","Uniqueness of the function limit: if `c` is a cluster point of `S` and `f`
converges both to `L₁` and to `L₂` at `c` along `S`, then `L₁ = L₂`."
24,Convert both function-limit hypotheses into filter convergence of \(f\) to \(L_1\) and \(L_2\) along that same punctured neighborhood filter.,atlas.real_analysis.6587f64283a7,function_limit_unique,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_unique (f : ℝ → ℝ) (S : Set ℝ) (c L₁ L₂ : ℝ)
    (hc : IsClusterPoint S c)
    (hL₁ : FunctionConvergesAt f S c L₁)
    (hL₂ : FunctionConvergesAt f S c L₂) : L₁ = L₂","Uniqueness of the function limit: if `c` is a cluster point of `S` and `f`
converges both to `L₁` and to `L₂` at `c` along `S`, then `L₁ = L₂`."
25,Apply uniqueness of limits in the Hausdorff space \(\mathbb R\) for a nontrivial filter to conclude \(L_1=L_2\).,atlas.real_analysis.6587f64283a7,function_limit_unique,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/Limits.lean,"theorem function_limit_unique (f : ℝ → ℝ) (S : Set ℝ) (c L₁ L₂ : ℝ)
    (hc : IsClusterPoint S c)
    (hL₁ : FunctionConvergesAt f S c L₁)
    (hL₂ : FunctionConvergesAt f S c L₂) : L₁ = L₂","Uniqueness of the function limit: if `c` is a cluster point of `S` and `f`
converges both to `L₁` and to `L₂` at `c` along `S`, then `L₁ = L₂`."
26,"Invoke the general metric-space characterization `Metric.uniformContinuousOn_iff`, which already expresses uniform continuity on a set through a single \(\delta\) working for every pair of points in that set.",atlas.real_analysis.5b5917979e9d,uniform_continuous_on_iff,1,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/UniformContinuity.lean,"theorem uniform_continuous_on_iff (f : ℝ → ℝ) (S : Set ℝ) :
    UniformContinuousOn f S ↔
    ∀ ε > 0, ∃ δ > 0, ∀ x ∈ S, ∀ y ∈ S, |x - y| < δ → |f x - f y| < ε","A real function `f` is uniformly continuous on a set `S ⊆ ℝ` if and only if it
satisfies the textbook ε–δ criterion: for every `ε > 0` there exists `δ > 0` such
that `|f x - f y| < ε` for all `x, y ∈ S` with `|x - y| < δ`."
27,"Rewrite the real metric using `Real.dist_eq`, namely \(d(x,y)=|x-y|\), both in the domain and codomain, so the abstract metric criterion becomes exactly the stated absolute-value \(\varepsilon\)–\(\delta\) condition.",atlas.real_analysis.5b5917979e9d,uniform_continuous_on_iff,2,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/UniformContinuity.lean,"theorem uniform_continuous_on_iff (f : ℝ → ℝ) (S : Set ℝ) :
    UniformContinuousOn f S ↔
    ∀ ε > 0, ∃ δ > 0, ∀ x ∈ S, ∀ y ∈ S, |x - y| < δ → |f x - f y| < ε","A real function `f` is uniformly continuous on a set `S ⊆ ℝ` if and only if it
satisfies the textbook ε–δ criterion: for every `ε > 0` there exists `δ > 0` such
that `|f x - f y| < ε` for all `x, y ∈ S` with `|x - y| < δ`."
28,"Use `simp only` to perform these unfoldings and rewrites, after which the two propositions are syntactically identical.",atlas.real_analysis.5b5917979e9d,uniform_continuous_on_iff,3,external/atlas-lean/Atlas/RealAnalysis/code/ContinuousFunctions/UniformContinuity.lean,"theorem uniform_continuous_on_iff (f : ℝ → ℝ) (S : Set ℝ) :
    UniformContinuousOn f S ↔
    ∀ ε > 0, ∃ δ > 0, ∀ x ∈ S, ∀ y ∈ S, |x - y| < δ → |f x - f y| < ε","A real function `f` is uniformly continuous on a set `S ⊆ ℝ` if and only if it
satisfies the textbook ε–δ criterion: for every `ε > 0` there exists `δ > 0` such
that `|f x - f y| < ε` for all `x, y ∈ S` with `|x - y| < δ`."
29,"Rewrite the difference quotient \(x \mapsto (f(x)-f(c))/(x-c)\) as the standard slope function `slope f c`, with the punctured neighborhood \(x \ne c\) avoiding division by zero.",atlas.real_analysis.9f333d74ac85,differentiable_at_iff_limit_exists,1,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/Basic.lean,"theorem differentiable_at_iff_limit_exists (f : ℝ → ℝ) (c : ℝ) :
    DifferentiableAt ℝ f c ↔
    ∃ L : ℝ, Filter.Tendsto (fun x => (f x - f c) / (x - c)) (nhdsWithin c {c}ᶜ) (nhds L)","A real function `f` is differentiable at `c` if and only if the difference quotient
`(f x - f c) / (x - c)` has a limit as `x → c` with `x ≠ c`."
30,"In the forward direction, convert differentiability at \(c\) into `HasDerivAt f (deriv f c) c` and apply `hasDerivAt_iff_tendsto_slope` to obtain the required limit.",atlas.real_analysis.9f333d74ac85,differentiable_at_iff_limit_exists,2,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/Basic.lean,"theorem differentiable_at_iff_limit_exists (f : ℝ → ℝ) (c : ℝ) :
    DifferentiableAt ℝ f c ↔
    ∃ L : ℝ, Filter.Tendsto (fun x => (f x - f c) / (x - c)) (nhdsWithin c {c}ᶜ) (nhds L)","A real function `f` is differentiable at `c` if and only if the difference quotient
`(f x - f c) / (x - c)` has a limit as `x → c` with `x ≠ c`."
31,"In the reverse direction, apply the converse of `hasDerivAt_iff_tendsto_slope` to the assumed slope limit, producing `HasDerivAt f L c`, and then conclude differentiability.",atlas.real_analysis.9f333d74ac85,differentiable_at_iff_limit_exists,3,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/Basic.lean,"theorem differentiable_at_iff_limit_exists (f : ℝ → ℝ) (c : ℝ) :
    DifferentiableAt ℝ f c ↔
    ∃ L : ℝ, Filter.Tendsto (fun x => (f x - f c) / (x - c)) (nhdsWithin c {c}ᶜ) (nhds L)","A real function `f` is differentiable at `c` if and only if the difference quotient
`(f x - f c) / (x - c)` has a limit as `x → c` with `x ≠ c`."
32,Use `hf.comp c hg` to obtain differentiability of \(f \circ g\) at \(c\) from the differentiability of \(g\) at \(c\) and \(f\) at \(g(c)\).,atlas.real_analysis.dec4c1aa763f,chain_rule,1,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/Basic.lean,"theorem chain_rule (f g : ℝ → ℝ) (c : ℝ)
    (hg : DifferentiableAt ℝ g c) (hf : DifferentiableAt ℝ f (g c)) :
    DifferentiableAt ℝ (f ∘ g) c ∧ deriv (f ∘ g) c = deriv f (g c) * deriv g c","Chain rule: if `g` is differentiable at `c` and `f` is differentiable at `g c`,
then the composition `f ∘ g` is differentiable at `c` and
`(f ∘ g)'(c) = f'(g c) * g'(c)`."
33,"Apply `deriv_comp c hf hg`, the derivative chain rule, to derive \(\operatorname{deriv}(f \circ g)(c)=\operatorname{deriv}f(g(c))\operatorname{deriv}g(c)\).",atlas.real_analysis.dec4c1aa763f,chain_rule,2,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/Basic.lean,"theorem chain_rule (f g : ℝ → ℝ) (c : ℝ)
    (hg : DifferentiableAt ℝ g c) (hf : DifferentiableAt ℝ f (g c)) :
    DifferentiableAt ℝ (f ∘ g) c ∧ deriv (f ∘ g) c = deriv f (g c) * deriv g c","Chain rule: if `g` is differentiable at `c` and `f` is differentiable at `g c`,
then the composition `f ∘ g` is differentiable at `c` and
`(f ∘ g)'(c) = f'(g c) * g'(c)`."
34,"Combine these two results as a conjunction using `⟨…, …⟩`.",atlas.real_analysis.dec4c1aa763f,chain_rule,3,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/Basic.lean,"theorem chain_rule (f g : ℝ → ℝ) (c : ℝ)
    (hg : DifferentiableAt ℝ g c) (hf : DifferentiableAt ℝ f (g c)) :
    DifferentiableAt ℝ (f ∘ g) c ∧ deriv (f ∘ g) c = deriv f (g c) * deriv g c","Chain rule: if `g` is differentiable at `c` and `f` is differentiable at `g c`,
then the composition `f ∘ g` is differentiable at `c` and
`(f ∘ g)'(c) = f'(g c) * g'(c)`."
35,Introduce a general equivalence translating an eventual property on the relative neighborhood filter `nhdsWithin c S` into an explicit positive-radius condition on points of \(S\).,atlas.real_analysis.d4ac68a30456,relative_extremum_def,1,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/MVT.lean,"theorem relative_extremum_def (f : ℝ → ℝ) (S : Set ℝ) (c : ℝ) (_hc : c ∈ S) :
    (IsLocalMaxOn f S c ↔ ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → f x ≤ f c) ∧
    (IsLocalMinOn f S c ↔ ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → f c ≤ f x)","Characterization of relative extrema in terms of an explicit `δ`-neighborhood.
For `f : ℝ → ℝ`, `S ⊆ ℝ`, and `c ∈ S`:
`f` has a relative maximum at `c` on `S` (`IsLocalMaxOn f S c`) iff there exists `δ > 0`
such that for all `x ∈ S` with `|x - c| < δ`, `f x ≤ f c`; and analogously, `f` has a
relative minimum at `c` on `S` iff there exists `δ > 0` such that for all `x ∈ S` with
`|x - c| < δ`, `f c ≤ f x`."
36,"Use `eventually_nhdsWithin_iff` and `Metric.eventually_nhds_iff`, together with `Real.dist_eq`, to rewrite “sufficiently close to \(c\) within \(S\)” as \(|x-c|<\delta\) for some \(\delta>0\).",atlas.real_analysis.d4ac68a30456,relative_extremum_def,2,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/MVT.lean,"theorem relative_extremum_def (f : ℝ → ℝ) (S : Set ℝ) (c : ℝ) (_hc : c ∈ S) :
    (IsLocalMaxOn f S c ↔ ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → f x ≤ f c) ∧
    (IsLocalMinOn f S c ↔ ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → f c ≤ f x)","Characterization of relative extrema in terms of an explicit `δ`-neighborhood.
For `f : ℝ → ℝ`, `S ⊆ ℝ`, and `c ∈ S`:
`f` has a relative maximum at `c` on `S` (`IsLocalMaxOn f S c`) iff there exists `δ > 0`
such that for all `x ∈ S` with `|x - c| < δ`, `f x ≤ f c`; and analogously, `f` has a
relative minimum at `c` on `S` iff there exists `δ > 0` such that for all `x ∈ S` with
`|x - c| < δ`, `f c ≤ f x`."
37,Resolve the only mismatch between the filter formulation and the desired statement by swapping the order of the assumptions \(x\in S\) and \(|x-c|<\delta\).,atlas.real_analysis.d4ac68a30456,relative_extremum_def,3,external/atlas-lean/Atlas/RealAnalysis/code/Derivatives/MVT.lean,"theorem relative_extremum_def (f : ℝ → ℝ) (S : Set ℝ) (c : ℝ) (_hc : c ∈ S) :
    (IsLocalMaxOn f S c ↔ ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → f x ≤ f c) ∧
    (IsLocalMinOn f S c ↔ ∃ δ > 0, ∀ x ∈ S, |x - c| < δ → f c ≤ f x)","Characterization of relative extrema in terms of an explicit `δ`-neighborhood.
For `f : ℝ → ℝ`, `S ⊆ ℝ`, and `c ∈ S`:
`f` has a relative maximum at `c` on `S` (`IsLocalMaxOn f S c`) iff there exists `δ > 0`
such that for all `x ∈ S` with `|x - c| < δ`, `f x ≤ f c`; and analogously, `f` has a
relative minimum at `c` on `S` iff there exists `δ > 0` such that for all `x ∈ S` with
`|x - c| < δ`, `f c ≤ f x`."
