index,category,lean_name,book_name,kind,location,official_lean_declaration,source_file,plain_english_statement_len,plain_english_proof_len,statement_excerpt,comment_excerpt
23,both_statement_and_proof,cor_2_9_expected_mse_bound,Corollary 2.9,corollary,"Chapter 2, Section 2.2",cor_2_9_expected_mse_bound,,184,1325,"Corollary 2.9. Under the assumptions of Theorem 2.6, \[ \mathbb{E} \left[ \operatorname{MSE}\bigl(X \hat{\theta}_B^{(0)}(k)\bigr) \right] \lesssim \frac{\sigma^2 k \log (n / k)}{n}. \]","*Corollary 2.9**: For the sparse least-squares estimator under sub-Gaussian noise, the expected MSE is bounded by `C · σ² · (k/n) · log(e d / k)` for some absolute constant `C`."
24,both_statement_and_proof,HardThresholding.oracle_bound_and_support_recovery,Theorem 2.11,theorem,"Chapter 2, Section 2.3",HardThresholding.oracle_bound_and_support_recovery,,739,1576,"**Theorem 2.11.** Consider the linear regression model (2.2) under the assumption ORT or, equivalently, the sub-Gaussian sequence model (2.9). Then the hard thresholding estimator \(\hat{\theta}^{\text{hrd}}\) with threshold  \[ 2\tau = 2\s","*Theorem 2.11** (properties of hard thresholding under ORT): when the noise is bounded by `τ` in sup-norm, the hard-thresholding estimator satisfies the oracle error bound `‖θ̂ − θ*‖² ≤ 16 · |supp θ*| · τ²`, and recovers the true support pr"
25,both_statement_and_proof,thm_2_14_probabilistic,Theorem 2.14,theorem,"Chapter 2, Section 2.4",thm_2_14_probabilistic,,495,4043,"**Theorem 2.14.** Assume that the linear model (2.2) holds where \(\varepsilon \sim \text{subG}( \sigma^{2} )\). Then, the BIC estimator \(\hat{\theta}_{\text{bic}}\) with regularization parameter \[ \tau^{2} = \frac{16 \log(6) \, \sigma^{2","*Theorem 2.14** (Rigollet, High-Dimensional Statistics).  BIC estimator prediction error bound: with $\tau^2 = (16\log 6 + 32\log(ed)) \sigma^2 / n$, the BIC estimator $\hat\theta^{BIC}$ satisfies, with probability at least $1 - \delta$, $$"
26,both_statement_and_proof,Rigollet.theorem_2_15,Theorem 2.15,theorem,"Chapter 2, Section 2.4",Rigollet.theorem_2_15,,805,1356,"**Theorem 2.15.** Assume that the linear model (2.2) holds where \(\varepsilon \sim \text{subGn}(\sigma^2)\). Moreover, assume that the columns of \(X\) are normalized such that \[ \max_j \|X_j\|_2^2 \leq n. \] Then, the Lasso estimator \(\","Theorem 2.15 (slow-rate Lasso bound). With `2τ = 2σ √(2 log(2d)/n) + 2σ √(2 log(1/δ)/n)`, the Lasso estimator `θ̂^L` satisfies, with probability at least `1 - δ`, `MSE(Xθ̂^L) ≤ 4 ‖θ*‖₁ (σ √(2 log(2d)/n) + σ √(2 log(1/δ)/n))`, and in expecta"
27,both_statement_and_proof,prop_2_16_rademacher_incoherence,Proposition 2.16,proposition,"Chapter 2, Section 2.4",prop_2_16_rademacher_incoherence,,504,1860,"**Proposition 2.16.** Let \( X \in \mathbb{R}^{n \times d} \) be a random matrix with entries \( X_{ij} \), \( i = 1, \ldots, n \), \( j = 1, \ldots, d \), that are i.i.d. Rademacher (±1) random variables. Then, \( X \) has incoherence \( k",Proposition 2.16. A Rademacher random matrix satisfies the incoherence condition `INC(k)` with probability at least `1 - δ` whenever `n ≥ 392 k² log(1/δ) + 784 k² log d`.
28,both_statement_and_proof,lemma_2_17_norm_equivalence,Lemma 2.17,lemma,"Chapter 2, Section 2.4",lemma_2_17_norm_equivalence,,371,852,"**Lemma 2.17.** Fix a positive integer \(k \leq d\) and assume that \(X\) satisfies assumption INC(\(k\)). Then, for any \(S \subseteq \{1, \ldots, d\}\) such that \(|S| \leq k\) and any \(\theta \in \mathbb{R}^d\) that satisfies the cone c","*Lemma 2.17** (restricted-eigenvalue / norm-equivalence inequality): under the incoherence assumption `INC(k)` and the cone condition, the support-restricted `ℓ_2` norm of `θ` is comparable to `(1/n)‖Xθ‖²`."
29,both_statement_and_proof,thm_2_18_lasso_probabilistic,Theorem 2.18,theorem,"Chapter 2, Section 2.4",thm_2_18_lasso_probabilistic,,913,2291,"**Theorem 2.18.** Fix \( n \geq 2 \). Assume that the linear model (2.2) holds where \(\varepsilon \sim \text{subG}(\sigma^2)\). Moreover, assume that \(|\theta^*|_0 \leq k\) and that \(X\) satisfies assumption INC(\(k\)). Then the Lasso es","Combined deterministic fast-rate bounds (Theorem 2.18, conjunction): under `INC(k)`, a `k`-sparse `θ*`, and `|Xᵀε|_∞ ≤ nτ/2`, both `MSE(Xθ̂) ≤ 576 k τ²` and `‖θ̂ - θ*‖₁ ≤ 32 k τ` hold."
30,both_statement_and_proof,Rigollet.Chapter3.thm_3_3,Theorem 3.3,theorem,"Chapter 3, Section 3.1",Rigollet.Chapter3.thm_3_3,,421,1065,"Theorem 3.3. Assume the general regression model (3.1) with \(\varepsilon \sim \text{subG}_n(\sigma^2)\). Then, the least squares estimator \(\hat{\theta}_{\text{ls}}\) satisfies, for some numerical constant \(C > 0\),  \[ \text{MSE}(\varph","Theorem 3.3 (least squares oracle inequality): for the least squares estimator under the sub-Gaussian noise model `Y = f + ε`, `ε ~ subG_n(σ²)`, with probability at least `1 - δ`, `MSE(φ_{θ̂^LS}) ≤ inf_θ MSE(φ_θ) + C σ² M log(1/δ) / n`."
31,both_statement_and_proof,Rigollet.Chapter3.thm_3_4_bic_oracle_inequality,Theorem 3.4,theorem,"Chapter 3, Section 3.1",Rigollet.Chapter3.thm_3_4_bic_oracle_inequality,,640,3165,"**Theorem 3.4.** Assume the general regression model (3.1) with \(\varepsilon \sim \text{subG}_n(\sigma^2)\). Then, the BIC estimator \(\hat{\theta}_{\mathrm{bic}}\) with regularization parameter \[ \tau^2 = \frac{16 \sigma^2}{\alpha n} \lo","Theorem 3.4 (BIC oracle inequality): for the BIC estimator with regularization `τ² = 16 σ² / (α n) · log(6 e M)` and sub-Gaussian noise, with probability at least `1 - δ` the MSE satisfies the oracle inequality `MSE(Φ θ̂) ≤ inf_θ {(1 + α)/("
32,both_statement_and_proof,Rigollet.Chapter3.thm_3_5_lasso_oracle_inequality,Theorem 3.5,theorem,"Chapter 3, Section 3.1",Rigollet.Chapter3.thm_3_5_lasso_oracle_inequality,,795,778,"**Theorem 3.5.** Assume the general regression model (3.1) with \(\varepsilon \sim \text{subG}_n(\sigma^2)\). Moreover, assume that there exists an integer \(k\) such that the matrix \(\Phi\) satisfies assumption INC(\(k\)).  Then, the Lass","Theorem 3.5 (Lasso oracle inequality, High-Dimensional Statistics, Ch. 3): for the general regression model `Y = f + ε` with `ε ~ subGₙ(σ²)` and `Φ` satisfying `INC(k)`, the Lasso estimator `θ̂^L` with `2τ = 8σ √(2 log(2M)/n) + 8σ √(2 log(1"
33,both_statement_and_proof,Chapter3.theorem_3_6_maurey,Theorem 3.6,theorem,"Chapter 3, Section 3.1",Chapter3.theorem_3_6_maurey,,483,2238,"**Theorem 3.6.** Let \(\{\varphi_1, \ldots, \varphi_M\}\) be a dictionary normalized in such a way that  \[ \max_{1 \leq j \leq M} \|\varphi_j\|^2 \leq D n. \]  Then for any integer \(k\) such that \(1 \leq k \leq M\) and any positive \(R\)","Theorem 3.6 (sparse vs ℓ₁-ball comparison): for a dictionary `Φ` with columns of squared norm at most `D² n`, `inf_{‖θ‖₀ ≤ 2k} MSE(Φ θ, f) ≤ inf_{‖θ‖₁ ≤ R} MSE(Φ θ, f) + D² R² / k`."
34,both_statement_and_proof,Rigollet.Chapter3.cor_3_7_probabilistic,Corollary 3.7,corollary,"Chapter 3, Section 3.1",Rigollet.Chapter3.cor_3_7_probabilistic,,617,3014,"**Corollary 3.7.** Assume that the assumptions of Theorem 3.4 hold and that the dictionary \(\{\varphi_1, \ldots, \varphi_M\}\) is normalized in such a way that  \[ \max_{1 \leq j \leq M} \|\varphi_j\|^2 \leq n. \]  Then there exists a cons","Corollary 3.7 (probabilistic combined ℓ₀ / ℓ₁ oracle inequality for the BIC estimator): with probability at least `1 - δ`, the BIC estimator `θ̂` satisfies, for every `θ`, `MSE(Φ θ̂) ≤ 2 MSE(Φ θ) + C · min(σ² |θ|₀ log(eM)/n, σ ‖θ‖₁ √(log(eM"
35,both_statement_and_proof,Chapter3.thm_3_11,Theorem 3.11,theorem,"Chapter 3, Section 3.2",Chapter3.thm_3_11,,579,2546,"**Theorem 3.11.** Fix \(\beta \geq 1\) and \(L > 0\), and let \(\{\varphi_j\}_{j \geq 1}\) denote the trigonometric basis of \(L^2([0,1])\). Moreover, let \(\{a_j\}_{j \geq 1}\) be defined as in (3.9). A function \(f \in W(\beta, L)\) can b","Theorem 3.11 (High-Dimensional Statistics, Ch. 3): fix `β ≥ 1` and `L > 0`. The trigonometric basis `{φⱼ}` represents every `f ∈ W(β, L)` as `f = Σ θⱼ* φⱼ` in `L²([0, 1])`, where the coefficient sequence `{θⱼ*}` belongs to the Sobolev ellip"
36,both_statement_and_proof,Chapter3.prop_3_12,Proposition 3.12,proposition,"Chapter 3, Section on Sobolev classes and ellipsoids",Chapter3.prop_3_12,,267,386,"**Proposition 3.12.** The Sobolev ellipsoids enjoy the following properties:  (i) For any \( Q > 0 \), \[ 0 < \beta' < \beta \implies \Theta(\beta, Q) \subset \Theta(\beta', Q). \]  (ii) For any \( Q > 0 \), \[ \beta > \frac{1}{2} \implies ","Proposition 3.12 (combined): Sobolev ellipsoids are nested in the smoothness parameter `β`, and for `β > 1/2` any coefficient sequence in the (infinite-dimensional) ellipsoid yields a continuous periodic function."
37,both_statement_and_proof,Chapter3.lemma_3_13,Lemma 3.13,lemma,"Chapter 3, Section on Sobolev classes and ellipsoids",Chapter3.lemma_3_13,,248,2550,"Lemma 3.13. Assume that \(\{X_1, \ldots, X_n\}\) is the regular design, i.e., \(X_i = \frac{i - 1}{n}\). Then, for any \(M \leq n - 1\), the design matrix \(\Phi = \{\varphi_j(X_i)\}_{1 \leq i \leq n, 1 \leq j \leq M}\) satisfies the ORT co","Lemma 3.13 of Rigollet: for the regular design `X_i = (i-1)/n` and the trigonometric basis `{φ_j}`, the design matrix `Φ` satisfies the orthogonality condition `Φᵀ Φ = n · I_M` for `M ≤ n - 1`."
38,both_statement_and_proof,lemma_3_14,Lemma 3.14,lemma,"Chapter 3, Section on Integrated squared error",lemma_3_14,,373,3471,"Lemma 3.14. For any integer \( M \geq 1 \), and \( f \in \Theta(\beta, Q) \), with \(\beta > \frac{1}{2}\), it holds that  \[ \| \theta^*_M - f \|_{L^2}^2 = \sum_{j > M} |\theta_j^*|^2 \leq Q M^{-2 \beta}. \tag{3.10} \]  Moreover, for \( M ","Lemma 3.14 (Sobolev truncation bound): for `M ≥ 1` and `θ ∈ Θ(β, Q)` with `β > 1/2`, the L² error of the truncated trigonometric series satisfies `‖φ_{θ*}^M - f‖²_{L²} = ∑'_{j > M} |θⱼ*|² ≤ Q · M^{-2β}`, together with the empirical ℓ¹ tail "
39,both_statement_and_proof,Chapter3.thm_3_15,Theorem 3.15,theorem,"Chapter 3, Section on Integrated squared error",Chapter3.thm_3_15,,916,946,"**Theorem 3.15.** Fix \(\beta \geq \frac{1 + 5}{4} \approx 0.81\), \(Q > 0\), \(\delta > 0\), and assume the general regression model (3.1) with \(f \in \Theta(\beta, Q)\) and \(\varepsilon \sim \text{subG}(\sigma^2)\), with \(\sigma^2 \leq","*Theorem 3.15 (Sobolev nonparametric rate).** Fix `β ≥ (1+√5)/4 ≃ 0.81`. Under the regression model `Y_i = f(i/n) + ε_i` with `f ∈ Θ(β, Q)` and `ε ~ subG_n(σ²)`, `σ² ≤ 1`, the least squares estimator with trigonometric basis and `M = ⌈n^{1/"
40,both_statement_and_proof,Chapter3.cor_3_16,Corollary 3.16,corollary,"Chapter 3, Section on Adaptive estimation",Chapter3.cor_3_16,,1127,1700,"Corollary 3.16. Fix \(\beta \geq \frac{1+5}{4} \approx 0.81\), \(Q > 0\), \(\delta > 0\), and \(n\) large enough to ensure \(n - 1 \geq \lceil n^{\frac{1}{2\beta+1}} \rceil\). Assume the general regression model (3.1) with \[ f \in \Theta(\","*Corollary 3.16 (Adaptive estimation).** Under the same assumptions as Theorem 3.15, both the BIC and Lasso estimators with the trigonometric design adapt to the unknown Sobolev smoothness up to log factors: - With probability `1 - δ`:   `‖"
